25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,16,17,17,17
6,0,58,0,58,0,0,0,0,0,0,0,0,0,0,0,16,17,17,17
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,17,17,17
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,16,17,17,17
14,58,0,0,0,0,0,0,0,0,0,0,0,0,8,10,16,17,17,17
14,8,9,9,10,0,0,0,0,0,0,0,0,0,24,26,16,17,17,17
14,24,25,25,26,0,0,0,0,0,0,0,4,2,2,5,16,17,17,17
14,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,24,15,25,25
14,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0
14,0,0,14,58,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0
14,0,0,14,8,9,10,0,0,0,0,0,0,0,0,0,0,52,0,0
22,0,0,22,24,25,26,0,0,0,0,0,0,0,0,0,0,52,0,0
9,9,9,9,9,9,9,10,0,0,0,0,0,0,0,8,9,9,9,9
17,17,17,17,17,17,17,18,0,0,11,12,20,0,0,16,17,17,17,17
17,17,17,17,17,17,17,18,0,0,0,0,0,0,0,16,17,17,17,17
